"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"260","logols",2000,0.01,2,"topcode",0.0259,0.0259,0.2039,0.2053,0.97,0
"261","logols",2000,0.01,3,"mean_adj",-0.018,-0.018,0.216,0.2165,0.952,0
"262","logols",2000,0.01,3,"median_adj",0.0216,0.0216,0.2053,0.2063,0.958,0
"263","logols",2000,0.01,3,"raw",0.0133,0.0133,0.2244,0.2246,0.946,0
"264","logols",2000,0.01,3,"topcode",0.0243,0.0243,0.2171,0.2182,0.948,0
"265","logols",2000,0.05,1,"mean_adj",0.007,0.007,0.228,0.2279,0.956,0
"266","logols",2000,0.05,1,"median_adj",0.0151,0.0151,0.2287,0.229,0.948,0
"267","logols",2000,0.05,1,"raw",-0.0067,-0.0067,0.2299,0.2298,0.966,0
"268","logols",2000,0.05,1,"topcode",0.0272,0.0272,0.2472,0.2484,0.942,0
"269","logols",2000,0.05,2,"mean_adj",0.0266,0.0266,0.2408,0.242,0.946,0
"270","logols",2000,0.05,2,"median_adj",0.0002,0.0002,0.2333,0.2331,0.954,0
"271","logols",2000,0.05,2,"raw",0.0131,0.0131,0.238,0.2381,0.938,0
"272","logols",2000,0.05,2,"topcode",0.0257,0.0257,0.2339,0.235,0.952,0
"273","logols",2000,0.05,3,"mean_adj",0.0199,0.0199,0.2328,0.2334,0.936,0
"274","logols",2000,0.05,3,"median_adj",0.0105,0.0105,0.2361,0.2361,0.948,0
"275","logols",2000,0.05,3,"raw",0.0284,0.0284,0.2431,0.2445,0.934,0
"276","logols",2000,0.05,3,"topcode",0.0077,0.0077,0.2374,0.2373,0.95,0
"277","logols",2000,0.1,1,"mean_adj",0.0221,0.0221,0.2518,0.2525,0.946,0
"278","logols",2000,0.1,1,"median_adj",0.003,0.003,0.2502,0.25,0.934,0
"279","logols",2000,0.1,1,"raw",0.004,0.004,0.2626,0.2624,0.944,0
"280","logols",2000,0.1,1,"topcode",0.0243,0.0243,0.2545,0.2554,0.954,0
"281","logols",2000,0.1,2,"mean_adj",-0.0055,-0.0055,0.248,0.2478,0.958,0
"282","logols",2000,0.1,2,"median_adj",0.0009,0.0009,0.2534,0.2532,0.954,0
"283","logols",2000,0.1,2,"raw",0.0251,0.0251,0.2629,0.2639,0.948,0
"284","logols",2000,0.1,2,"topcode",-0.0082,-0.0082,0.2543,0.2541,0.966,0
"285","logols",2000,0.1,3,"mean_adj",0.0166,0.0166,0.2654,0.2657,0.934,0
"286","logols",2000,0.1,3,"median_adj",0.0043,0.0043,0.2584,0.2582,0.948,0
"287","logols",2000,0.1,3,"raw",0.0039,0.0039,0.2523,0.2521,0.964,0
"288","logols",2000,0.1,3,"topcode",0.0109,0.0109,0.2683,0.2682,0.95,0
